hyperparameter,metric,n,p_value,spearman_rho
lambda-kd,avg_forgetting,30,0.15141618780780114,0.26848248731837987
lambda-kd,avg_inc_acc,30,0.08998874330445622,-0.31499489078176984
lambda-kd,bwt,30,0.3726147485616212,-0.1687801571221033
lambda-kd,server_eval_acc,30,0.018102643123419446,-0.42866415546488984
lambda-kd,server_eval_loss,30,0.5111217410728092,-0.12480060731266031
lambda-kd,worst_class_bwt,30,0.13515727529061858,0.27918432753286926
lambda-kd,worst_class_bwt_id,30,0.4466795947341709,0.14433519494354755
lambda-kd,worst_class_forgetting,30,0.3963936990000533,-0.16065449329129308
lambda-kd,worst_class_forgetting_id,30,0.2706667027138489,0.20773382805929533
local-epochs,avg_forgetting,30,0.49110649177291166,0.13072505778575763
local-epochs,avg_inc_acc,30,1.5399172078625284e-05,0.7019567363495789
local-epochs,bwt,30,4.3816682486884064e-07,0.7772157044762387
local-epochs,server_eval_acc,30,0.0002962363874165753,0.6152777469838671
local-epochs,server_eval_loss,30,0.07339410951745079,0.33164578920647314
local-epochs,worst_class_bwt,30,1.8100223970940027e-29,-0.9949199269734486
local-epochs,worst_class_bwt_id,30,0.1548365398629509,-0.26633805697108515
local-epochs,worst_class_forgetting,30,5.922205617691124e-09,0.8410481985375033
local-epochs,worst_class_forgetting_id,30,0.03653018840825128,-0.3833259389999639
tau,avg_forgetting,30,0.12352348856652269,-0.2874336683368489
tau,avg_inc_acc,30,0.11211254553417231,0.2961023027787539
tau,bwt,30,0.5197805658349856,0.12227337002265952
tau,server_eval_acc,30,0.7967104033687916,0.04908992466489521
tau,server_eval_loss,30,0.07764326478189129,0.3271268892024138
tau,worst_class_bwt,30,0.24169572330840708,-0.22047584555181177
tau,worst_class_bwt_id,30,0.15864257020548322,0.2639914204182523
tau,worst_class_forgetting,30,0.046196308766405694,0.3667672850736826
tau,worst_class_forgetting_id,30,0.10627597306765722,-0.30079260375911915
