trial,tau,theta-exp,theta-alpha,candidacy-quorum,vote-adapt-steps,vote-adapt-lr,incorporation-degrade-tolerance,vote-margin,dirichlet-alpha,classes-per-step,lambda-kd,local-epochs,seed,trial_dir,avg_inc_acc,round,server_eval_acc,server_eval_loss,bwt,avg_forgetting,worst_class_forgetting,worst_class_forgetting_id,worst_class_bwt,worst_class_bwt_id,status
trial_0000,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,5,0,/FedProtoContinual/outputs/grid_search/trial_0000,0.14877192982456142,90,0.1417956656346749,13.966044508045302,-0.0005409599608924069,0.26051132070117283,0.8,1,-0.8,1,cached
trial_0001,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,5,1,/FedProtoContinual/outputs/grid_search/trial_0001,0.1543634487287738,90,0.1411764705882353,13.029656786372419,-0.009376449588981081,0.2851939401187439,0.8222222222222222,1,-0.7555555555555555,1,cached
trial_0002,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,5,2,/FedProtoContinual/outputs/grid_search/trial_0002,0.15923069706351442,90,0.14860681114551083,10.972028844496784,0.0018304704631486911,0.2804319829223702,0.9833333333333333,17,-0.9833333333333333,17,cached
trial_0003,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,5,3,/FedProtoContinual/outputs/grid_search/trial_0003,0.16730274885073648,90,0.14736842105263157,13.682473740710563,-0.0007601250578834723,0.3279983814533229,0.8387096774193549,8,-0.6666666666666666,0,cached
trial_0004,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,5,4,/FedProtoContinual/outputs/grid_search/trial_0004,0.14285392625949903,90,0.1417956656346749,12.65903467703899,0.007381259569315194,0.2770591991532828,1.0,0,-0.6,1,cached
trial_0005,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,7,0,/FedProtoContinual/outputs/grid_search/trial_0005,0.1418932357632048,90,0.13374613003095975,15.114209579609495,0.02308301620399641,0.2812943772490914,0.9777777777777777,1,-0.9777777777777777,1,cached
trial_0006,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,7,1,/FedProtoContinual/outputs/grid_search/trial_0006,0.15611971104231168,90,0.13746130030959752,14.878076738764996,-0.0075262318591876555,0.2841223002286942,0.9859154929577465,16,-0.9859154929577465,16,cached
trial_0007,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,7,2,/FedProtoContinual/outputs/grid_search/trial_0007,0.1674641148325359,90,0.14736842105263157,13.511424104200428,0.0011039444889849493,0.2867138217497136,0.95,14,-0.95,14,cached
trial_0008,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,7,3,/FedProtoContinual/outputs/grid_search/trial_0008,0.17507458485786662,90,0.14303405572755418,12.502548907489599,0.006311398293744618,0.3462877558614088,0.9848484848484849,13,-0.9848484848484849,13,cached
trial_0009,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.0,7,4,/FedProtoContinual/outputs/grid_search/trial_0009,0.1594521062013322,90,0.1325077399380805,11.801646909920423,0.0039000532708668547,0.32108582014811243,0.9215686274509803,0,-0.6666666666666666,13,cached
trial_0010,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,5,0,/FedProtoContinual/outputs/grid_search/trial_0010,0.14878318791631484,90,0.13374613003095975,10.99818226722741,-0.006933211226309507,0.26888689924580533,0.8,1,-0.8,1,cached
trial_0011,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,5,1,/FedProtoContinual/outputs/grid_search/trial_0011,0.1528173374613003,90,0.1393188854489164,11.315537639889556,-0.010747536324003356,0.28246508371443535,0.8222222222222222,1,-0.7555555555555555,1,cached
trial_0012,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,5,2,/FedProtoContinual/outputs/grid_search/trial_0012,0.15856646965006096,90,0.14736842105263157,9.675201248310668,0.0029598773780809265,0.2876641701453304,0.9833333333333333,17,-0.9833333333333333,17,cached
trial_0013,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,5,3,/FedProtoContinual/outputs/grid_search/trial_0013,0.16219908058917346,90,0.1368421052631579,11.515746508146588,-0.00908099657106545,0.331971950533245,0.8387096774193549,8,-0.6666666666666666,0,ok
trial_0014,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,5,4,/FedProtoContinual/outputs/grid_search/trial_0014,0.14354817525096164,90,0.1393188854489164,10.192128248185195,0.0023088847680414527,0.29151410015892093,1.0,0,-0.6,1,cached
trial_0015,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,7,0,/FedProtoContinual/outputs/grid_search/trial_0015,0.14703443099727928,90,0.13312693498452013,11.15745327125762,0.011292482271882023,0.2771975662675807,0.9777777777777777,1,-0.9777777777777777,1,cached
trial_0016,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,7,1,/FedProtoContinual/outputs/grid_search/trial_0016,0.16407918191199924,90,0.14427244582043344,12.141425382537369,-0.001372455138879178,0.2912064583635748,1.0,16,-1.0,16,cached
trial_0017,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,7,2,/FedProtoContinual/outputs/grid_search/trial_0017,0.16345998686555963,90,0.1523219814241486,11.665677267257642,0.002469617186717559,0.28957500515369433,0.9166666666666666,14,-0.9166666666666666,14,cached
trial_0018,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,7,3,/FedProtoContinual/outputs/grid_search/trial_0018,0.17113425274415986,90,0.1386996904024768,11.578458269904642,-0.003049607331794305,0.3543505115542743,0.9848484848484849,13,-0.9848484848484849,13,cached
trial_0019,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,0.5,7,4,/FedProtoContinual/outputs/grid_search/trial_0019,0.1573318322544329,90,0.12321981424148606,10.001774908957467,-0.008224985788318982,0.3227871245501635,0.9215686274509803,0,-0.6818181818181818,13,cached
trial_0020,250,0.1,0.05,0.4,20,0.001,0.02,0.001,0.3,9,1.0,5,0,/FedProtoContinual/outputs/grid_search/trial_0020,0.14871939206304532,90,0.1325077399380805,9.462250899087534,-0.008323385748385682,0.26367183666647154,0.8,1,-0.8,1,cached
