hyperparameter,metric,n,p_value,spearman_rho
lambda-kd,avg_forgetting,30,0.026305885067282396,0.40525658463151687
lambda-kd,avg_inc_acc,30,0.49707717345404656,-0.1289452769282099
lambda-kd,bwt,30,0.09478897892401103,-0.31061996174313417
lambda-kd,server_eval_acc,30,0.0333656815697825,-0.3895152252013057
lambda-kd,server_eval_loss,30,0.9961459434918816,0.0009210376923443565
lambda-kd,worst_class_bwt,30,0.13343456419811353,0.28037216486614785
lambda-kd,worst_class_bwt_id,30,0.27095814632100357,0.20761028726450947
lambda-kd,worst_class_forgetting,30,0.3743797507891192,-0.16816686334429407
lambda-kd,worst_class_forgetting_id,30,0.2706667027138489,0.20773382805929533
local-epochs,avg_forgetting,30,0.6079493578132205,0.0975834938400726
local-epochs,avg_inc_acc,30,0.0026436917049410826,0.5291142743828465
local-epochs,bwt,30,5.061729932852848e-08,0.8121984664189063
local-epochs,server_eval_acc,30,1.5989493668635187e-06,0.7527271328819342
local-epochs,server_eval_loss,30,0.04658079363292911,0.366168251649895
local-epochs,worst_class_bwt,30,9.666582379593122e-33,-0.9970370305242862
local-epochs,worst_class_bwt_id,30,0.0366512021216507,-0.3830979723196764
local-epochs,worst_class_forgetting,30,2.3770750446845344e-09,0.8518254288745791
local-epochs,worst_class_forgetting_id,30,0.03653018840825128,-0.3833259389999639
tau,avg_forgetting,30,0.037305299365494204,-0.3818761593618135
tau,avg_inc_acc,30,0.086084169396345,0.3186863767195063
tau,bwt,30,0.5711602099388898,0.10767356464681958
tau,server_eval_acc,30,0.6478141124755621,-0.0869358950200467
tau,server_eval_loss,30,0.1463972467606518,0.27169325316602144
tau,worst_class_bwt,30,0.3061000363999881,-0.19329746192273486
tau,worst_class_bwt_id,30,0.9470719348800131,-0.01265741979975513
tau,worst_class_forgetting,30,0.06415336223794935,0.3422205557029992
tau,worst_class_forgetting_id,30,0.10627597306765722,-0.30079260375911915
