trial,dirichlet-alpha,classes-per-step,theta-exp,theta-alpha,lambda-kd,local-epochs,tau,trial_dir,avg_inc_acc,round,server_eval_acc,server_eval_loss,bwt,avg_forgetting,worst_class_forgetting,worst_class_forgetting_id,worst_class_bwt,worst_class_bwt_id,status
trial_0000,0.3,9,0.15,0.5,1.0,5,250,/FedProtoContinual/outputs/grid_search/trial_0000,0.14840041279669763,90,0.1393188854489164,14.06746727438534,-0.003056488470343272,0.2474316636682272,0.8,1,-0.8,1,ok
trial_0001,0.3,9,0.15,0.5,4.0,9,60,/FedProtoContinual/outputs/grid_search/trial_0001,0.14528567407824375,90,0.13126934984520125,14.291568512813226,0.013262489882583798,0.33998770213335405,1.0,1,-1.0,1,ok
trial_0002,0.3,9,0.15,0.5,1.0,7,120,/FedProtoContinual/outputs/grid_search/trial_0002,0.13975419833004973,90,0.12879256965944272,14.12899623433872,0.005301608742171173,0.28644624935825597,0.9777777777777777,1,-0.9777777777777777,1,ok
trial_0003,0.3,9,0.15,0.5,0.0,5,15,/FedProtoContinual/outputs/grid_search/trial_0003,0.13899615348531758,90,0.1325077399380805,11.622146046641442,-0.01746149538534533,0.3039778598293501,0.8,1,-0.8,1,ok
trial_0004,0.3,9,0.15,0.5,0.5,7,120,/FedProtoContinual/outputs/grid_search/trial_0004,0.13284548269068394,90,0.13622291021671826,13.78251037125248,0.004926714492125428,0.2908861220732393,0.9777777777777777,1,-0.9777777777777777,1,ok
trial_0005,0.3,9,0.15,0.5,2.0,5,15,/FedProtoContinual/outputs/grid_search/trial_0005,0.13720611689651938,90,0.13622291021671826,11.781160374691613,-0.007480275398150388,0.29934519591824715,0.8,1,-0.8,1,ok
trial_0006,0.3,9,0.15,0.5,2.0,3,60,/FedProtoContinual/outputs/grid_search/trial_0006,0.1365231259968102,90,0.1281733746130031,14.763851957055437,-0.00098958585747285,0.301544970288855,0.8,1,-0.5555555555555556,1,ok
trial_0007,0.3,9,0.15,0.5,1.0,7,30,/FedProtoContinual/outputs/grid_search/trial_0007,0.14435125246270755,90,0.14241486068111456,13.333551880449702,0.004682478346899908,0.3056101633126281,0.9777777777777777,1,-0.9777777777777777,1,ok
trial_0008,0.3,9,0.15,0.5,0.5,9,120,/FedProtoContinual/outputs/grid_search/trial_0008,0.1498076742658786,90,0.13808049535603714,14.194658734111963,0.01911759165669588,0.2977688394285766,1.0,1,-1.0,1,ok
trial_0009,0.3,9,0.15,0.5,2.0,3,30,/FedProtoContinual/outputs/grid_search/trial_0009,0.13378365700347125,90,0.12755417956656348,13.412277462607936,-0.01091997474471769,0.3056912827643011,0.7551020408163265,4,-0.5555555555555556,1,ok
trial_0010,0.3,9,0.15,0.5,1.0,5,15,/FedProtoContinual/outputs/grid_search/trial_0010,0.1370935359789849,90,0.13188854489164087,12.703218371506447,-0.01421114617448563,0.30354093966539886,0.7777777777777778,1,-0.7777777777777778,1,ok
trial_0011,0.3,9,0.15,0.5,2.0,7,250,/FedProtoContinual/outputs/grid_search/trial_0011,0.14131156768927666,90,0.13808049535603714,15.956068392065657,0.020142324429160714,0.25578569307952315,0.9777777777777777,1,-0.9777777777777777,1,ok
trial_0012,0.3,9,0.15,0.5,0.5,5,60,/FedProtoContinual/outputs/grid_search/trial_0012,0.14240735528661225,90,0.12321981424148606,14.552070674364781,-0.019020854258421947,0.29622574647939454,0.8,1,-0.8,1,ok
trial_0013,0.3,9,0.15,0.5,2.0,3,250,/FedProtoContinual/outputs/grid_search/trial_0013,0.13486818650905338,90,0.12260061919504645,10.640562240553345,-0.02341410302594631,0.28816213164584487,1.0,1,-0.6630434782608696,20,ok
