trial,local-epochs,lambda-kd,tau,theta-exp,theta-alpha,dirichlet-alpha,classes-per-step,candidacy-quorum,incorporation-degrade-tolerance,vote-margin,trial_dir,avg_inc_acc,round,server_eval_acc,server_eval_loss,bwt,avg_forgetting,worst_class_forgetting,worst_class_forgetting_id,worst_class_bwt,worst_class_bwt_id,status
trial_0000,5,0.5,250,0.1,0.05,0.3,9,0.5,0.002,0.001,/FedProtoContinual/outputs/grid_search/trial_0000,0.14816399286987522,90,0.13746130030959752,13.590751260574388,-0.011123667418630094,0.2532492650610573,0.8,1,-0.8,1,ok
trial_0001,5,0.5,250,0.1,0.05,0.3,9,0.5,0.002,0.01,/FedProtoContinual/outputs/grid_search/trial_0001,0.14740219532789192,90,0.13374613003095975,13.60984417705713,-0.010637708929147208,0.25478438950552484,0.8,1,-0.8,1,ok
trial_0002,5,0.5,250,0.1,0.05,0.3,9,0.3,0.002,0.01,/FedProtoContinual/outputs/grid_search/trial_0002,0.14760859367670512,90,0.1393188854489164,13.16669624257752,-0.00626393879720304,0.25511475304228587,0.8,1,-0.8,1,ok
trial_0003,5,0.5,250,0.1,0.05,0.3,9,0.4,0.01,0.005,/FedProtoContinual/outputs/grid_search/trial_0003,0.14766863683272352,90,0.1411764705882353,13.640508645828294,-0.004560025322005829,0.2522852285383842,0.8,1,-0.8,1,ok
trial_0004,5,0.5,250,0.1,0.05,0.3,9,0.5,0.02,0.01,/FedProtoContinual/outputs/grid_search/trial_0004,0.14778121775025801,90,0.13808049535603714,13.107547275791227,-0.006083843051800881,0.2555498442457829,0.8,1,-0.8,1,ok
trial_0005,5,0.5,250,0.1,0.05,0.3,9,0.5,0.02,0.005,/FedProtoContinual/outputs/grid_search/trial_0005,0.14682427995121494,90,0.1325077399380805,13.513497735841355,-0.00880221390315263,0.2524427862125917,0.8,1,-0.8,1,ok
trial_0006,5,0.5,250,0.1,0.05,0.3,9,0.5,0.002,0.005,/FedProtoContinual/outputs/grid_search/trial_0006,0.14765737874097007,90,0.12507739938080495,13.686007303054858,-0.02049871496573658,0.25999298710378405,0.8,1,-0.8,1,ok
trial_0007,5,0.5,250,0.1,0.05,0.3,9,0.4,0.02,0.005,/FedProtoContinual/outputs/grid_search/trial_0007,0.1498226850548832,90,0.1386996904024768,13.741810787425322,0.0006066517515270571,0.2662998101663725,0.8,1,-0.8,1,ok
trial_0008,5,0.5,250,0.1,0.05,0.3,9,0.5,0.02,0.001,/FedProtoContinual/outputs/grid_search/trial_0008,0.14996528755042685,90,0.13746130030959752,13.7641798745737,-0.00659465319211326,0.27958913422266984,0.8,1,-0.8,1,ok
trial_0009,5,0.5,250,0.1,0.05,0.3,9,0.4,0.05,0.005,/FedProtoContinual/outputs/grid_search/trial_0009,0.1480401538605873,90,0.1386996904024768,14.107176695076674,-0.0031153929339243986,0.2639000413782064,0.8,1,-0.8,1,ok
trial_0010,5,0.5,250,0.1,0.05,0.3,9,0.6,0.002,0.005,/FedProtoContinual/outputs/grid_search/trial_0010,0.14898958626512807,90,0.14241486068111456,13.792168485564714,-0.003950790509598009,0.24098036693044916,0.8,1,-0.8,1,ok
trial_0011,5,0.5,250,0.1,0.05,0.3,9,0.4,0.002,0.005,/FedProtoContinual/outputs/grid_search/trial_0011,0.14661788160240172,90,0.13498452012383902,13.790305552763098,-0.009327984266372697,0.2527870897461638,0.8,1,-0.8,1,ok
trial_0012,5,0.5,250,0.1,0.05,0.3,9,0.6,0.02,0.005,/FedProtoContinual/outputs/grid_search/trial_0012,0.1480026268880758,90,0.13808049535603714,14.580625348637348,-0.003405642214093202,0.247907012758731,0.8,1,-0.8,1,ok
trial_0013,5,0.5,250,0.1,0.05,0.3,9,0.3,0.02,0.01,/FedProtoContinual/outputs/grid_search/trial_0013,0.14668167745567126,90,0.13808049535603714,14.326439158909093,-0.005333334507020947,0.2691779747027993,0.8,1,-0.8,1,ok
trial_0014,5,0.5,250,0.1,0.05,0.3,9,0.4,0.02,0.001,/FedProtoContinual/outputs/grid_search/trial_0014,0.1499352659724177,90,0.14303405572755418,12.983285961800684,-0.0035731010875316707,0.24642370827087653,0.8,1,-0.8,1,ok
trial_0015,5,0.5,250,0.1,0.05,0.3,9,0.5,0.05,0.005,/FedProtoContinual/outputs/grid_search/trial_0015,0.1489783281733746,90,0.1393188854489164,13.242766431684464,-0.0028130583319846063,0.24333462344291185,0.8,1,-0.8,1,ok
trial_0016,5,0.5,250,0.1,0.05,0.3,9,0.3,0.02,0.001,/FedProtoContinual/outputs/grid_search/trial_0016,0.14894830659536543,90,0.1368421052631579,13.526645521039933,-0.005234626406874449,0.254271486619406,0.8,1,-0.8,1,ok
trial_0017,5,0.5,250,0.1,0.05,0.3,9,0.6,0.01,0.005,/FedProtoContinual/outputs/grid_search/trial_0017,0.14865934890702692,90,0.1393188854489164,13.912765687168935,-0.0012923751693363244,0.24314900608762066,0.8,1,-0.8,1,ok
trial_0018,5,0.5,250,0.1,0.05,0.3,9,0.6,0.01,0.01,/FedProtoContinual/outputs/grid_search/trial_0018,0.1464940425931138,90,0.1393188854489164,13.730555710925406,-0.0051305596501740386,0.2494071588021225,0.8,1,-0.8,1,ok
trial_0019,5,0.5,250,0.1,0.05,0.3,9,0.5,0.05,0.01,/FedProtoContinual/outputs/grid_search/trial_0019,0.14971010413734873,90,0.1417956656346749,13.655284274547093,-0.00253814312358538,0.25319975295542363,0.8,1,-0.8,1,ok
