hyperparameter,value,metric,mean,n,std
candidacy-quorum,0.2,avg_forgetting,0.2788176519746996,5,0.01407005943215516
candidacy-quorum,0.3,avg_forgetting,0.2539465059230043,5,0.008439901567379076
candidacy-quorum,0.4,avg_forgetting,0.2518071183174561,5,0.003267628497169843
candidacy-quorum,0.5,avg_forgetting,0.25257781338026425,5,0.005808605499718864
candidacy-quorum,0.2,avg_inc_acc,0.14560090064734027,5,0.003703972640176486
candidacy-quorum,0.3,avg_inc_acc,0.1478442630640773,5,0.0005159400561714359
candidacy-quorum,0.4,avg_inc_acc,0.1479928698752228,5,0.0011501428749439312
candidacy-quorum,0.5,avg_inc_acc,0.14788554273383994,5,0.0010650982528568932
candidacy-quorum,0.2,bwt,-0.012858857188166452,5,0.012024337819640995
candidacy-quorum,0.3,bwt,-0.007587410216176128,5,0.004273499740570907
candidacy-quorum,0.4,bwt,-0.006853351636839905,5,0.0050369687435773145
candidacy-quorum,0.5,bwt,-0.007604164631699248,5,0.001610019180899411
candidacy-quorum,0.2,round,90.0,5,0.0
candidacy-quorum,0.3,round,90.0,5,0.0
candidacy-quorum,0.4,round,90.0,5,0.0
candidacy-quorum,0.5,round,90.0,5,0.0
candidacy-quorum,0.2,server_eval_acc,0.13126934984520125,5,0.009074957751361615
candidacy-quorum,0.3,server_eval_acc,0.13845201238390092,5,0.0029462234683270134
candidacy-quorum,0.4,server_eval_acc,0.13696594427244585,5,0.0037846951801699356
candidacy-quorum,0.5,server_eval_acc,0.13845201238390092,5,0.002525830099612527
candidacy-quorum,0.2,server_eval_loss,13.466408950286015,5,1.275210599080416
candidacy-quorum,0.3,server_eval_loss,14.02182564561212,5,0.40876250740759124
candidacy-quorum,0.4,server_eval_loss,13.96764936181414,5,0.4200246478831115
candidacy-quorum,0.5,server_eval_loss,13.614180839231508,5,0.48420479172648023
candidacy-quorum,0.2,worst_class_bwt,-0.8,5,0.0
candidacy-quorum,0.3,worst_class_bwt,-0.8,5,0.0
candidacy-quorum,0.4,worst_class_bwt,-0.8,5,0.0
candidacy-quorum,0.5,worst_class_bwt,-0.8,5,0.0
candidacy-quorum,0.2,worst_class_bwt_id,1.0,5,0.0
candidacy-quorum,0.3,worst_class_bwt_id,1.0,5,0.0
candidacy-quorum,0.4,worst_class_bwt_id,1.0,5,0.0
candidacy-quorum,0.5,worst_class_bwt_id,1.0,5,0.0
candidacy-quorum,0.2,worst_class_forgetting,0.8214814814814815,5,0.04296296296296296
candidacy-quorum,0.3,worst_class_forgetting,0.8,5,0.0
candidacy-quorum,0.4,worst_class_forgetting,0.8,5,0.0
candidacy-quorum,0.5,worst_class_forgetting,0.8,5,0.0
candidacy-quorum,0.2,worst_class_forgetting_id,3.8,5,5.6
candidacy-quorum,0.3,worst_class_forgetting_id,1.0,5,0.0
candidacy-quorum,0.4,worst_class_forgetting_id,1.0,5,0.0
candidacy-quorum,0.5,worst_class_forgetting_id,1.0,5,0.0
vote-adapt-steps,10,avg_forgetting,0.2624156172138232,4,0.01736259892176451
vote-adapt-steps,100,avg_forgetting,0.25936040705800695,4,0.009347199657431667
vote-adapt-steps,20,avg_forgetting,0.26107444007162206,4,0.02116440812378495
vote-adapt-steps,40,avg_forgetting,0.259976381826032,4,0.01120884471818055
vote-adapt-steps,5,avg_forgetting,0.2536095158247961,4,0.0047521653135729905
vote-adapt-steps,10,avg_inc_acc,0.14578759733558494,4,0.004208527726671352
vote-adapt-steps,100,avg_inc_acc,0.1470700816211652,4,0.00091379719201257
vote-adapt-steps,20,avg_inc_acc,0.14770804015386058,4,0.0007122343560024242
vote-adapt-steps,40,avg_inc_acc,0.14719861150201707,4,0.001147952404657428
vote-adapt-steps,5,avg_inc_acc,0.1488901397879726,4,0.0003792777798465175
vote-adapt-steps,10,bwt,-0.011282137425360125,4,0.0065615575369625855
vote-adapt-steps,100,bwt,-0.00873496277508897,4,0.004021972737112879
vote-adapt-steps,20,bwt,-0.004268003633137743,4,0.0045842534079373175
vote-adapt-steps,40,bwt,-0.01393477133733184,4,0.007706221765878161
vote-adapt-steps,5,bwt,-0.005409854420183489,4,0.007954487161371086
vote-adapt-steps,10,round,90.0,4,0.0
vote-adapt-steps,100,round,90.0,4,0.0
vote-adapt-steps,20,round,90.0,4,0.0
vote-adapt-steps,40,round,90.0,4,0.0
vote-adapt-steps,5,round,90.0,4,0.0
vote-adapt-steps,10,server_eval_acc,0.13359133126934986,4,0.008550442402254787
vote-adapt-steps,100,server_eval_acc,0.13653250773993808,4,0.0022109685537284327
vote-adapt-steps,20,server_eval_acc,0.1388544891640867,4,0.0051504039503449325
vote-adapt-steps,40,server_eval_acc,0.13498452012383902,4,0.0057421786349818515
vote-adapt-steps,5,server_eval_acc,0.13746130030959752,4,0.00538023133033522
vote-adapt-steps,10,server_eval_loss,13.39225707747988,4,1.2672776127884549
vote-adapt-steps,100,server_eval_loss,13.316712347568004,4,0.310244916363801
vote-adapt-steps,20,server_eval_loss,13.83348524725474,4,0.2655983549138711
vote-adapt-steps,40,server_eval_loss,14.211740504403602,4,0.5602677859114974
vote-adapt-steps,5,server_eval_loss,14.083385819473502,4,0.5446039309344153
vote-adapt-steps,10,worst_class_bwt,-0.8,4,0.0
vote-adapt-steps,100,worst_class_bwt,-0.8,4,0.0
vote-adapt-steps,20,worst_class_bwt,-0.8,4,0.0
vote-adapt-steps,40,worst_class_bwt,-0.8,4,0.0
vote-adapt-steps,5,worst_class_bwt,-0.8,4,0.0
vote-adapt-steps,10,worst_class_bwt_id,1.0,4,0.0
vote-adapt-steps,100,worst_class_bwt_id,1.0,4,0.0
vote-adapt-steps,20,worst_class_bwt_id,1.0,4,0.0
vote-adapt-steps,40,worst_class_bwt_id,1.0,4,0.0
vote-adapt-steps,5,worst_class_bwt_id,1.0,4,0.0
vote-adapt-steps,10,worst_class_forgetting,0.8,4,0.0
vote-adapt-steps,100,worst_class_forgetting,0.8,4,0.0
vote-adapt-steps,20,worst_class_forgetting,0.8,4,0.0
vote-adapt-steps,40,worst_class_forgetting,0.826851851851852,4,0.04650877168471985
vote-adapt-steps,5,worst_class_forgetting,0.8,4,0.0
vote-adapt-steps,10,worst_class_forgetting_id,1.0,4,0.0
vote-adapt-steps,100,worst_class_forgetting_id,1.0,4,0.0
vote-adapt-steps,20,worst_class_forgetting_id,1.0,4,0.0
vote-adapt-steps,40,worst_class_forgetting_id,4.5,4,6.06217782649107
vote-adapt-steps,5,worst_class_forgetting_id,1.0,4,0.0
