trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0000,1,train,,,0.250413255223745,,,0.011868522950459884,,,0.0,0.0,0.002826578910698489,0,0,0,0,0,,0,0,0,,,,,2.198364128945749,,,,,
trial_0000,1,eval,,,,,,,0.3529411764705882,2.188346960965325,,,,,,,,,,,,,,,,,,,,,,
trial_0000,1,global,,,,,,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12421052631578948,2.196899276532625,,,,,,
trial_0000,2,train,,,0.2503577138804182,,,0.01406155748269226,,,0.0,0.0,0.021403083811761647,0,0,0,0,0,,0,0,0,,,,,2.168160771720017,,,,,
trial_0000,2,eval,,,,,,,0.11764705882352941,2.177978711969712,,,,,,,,,,,,,,,,,,,,,,
trial_0000,2,global,,,,0.015637860082304538,-0.004744613894940704,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12,2.196199457268966,,,-0.07407407407407407,3,0.07407407407407407,3
trial_0000,3,train,,,0.25035131505773034,,,0.019248136991186986,,,0.0,0.0,0.02170905625223642,0,0,0,0,0,,0,0,0,,,,,2.0902687830261035,,,,,
trial_0000,3,eval,,,,,,,0.058823529411764705,2.1432447573717903,,,,,,,,,,,,,,,,,,,,,,
trial_0000,3,global,,,,0.032195594287097555,-0.021302348099733723,,,,,,,0,0,0,0,0,,0,0,0,9,,0.1031578947368421,2.2272772573169908,,,-0.11764705882352944,0,0.21568627450980393,0
trial_0000,4,train,,,0.25040780253048184,,,0.02692761366503148,,,0.0,0.0,0.028164780950998957,0,0,0,0,0,,0,0,0,,,,,1.948933479453944,,,,,
trial_0000,4,eval,,,,,,,0.1764705882352941,2.1163199368645165,,,,,,,,,,,,,,,,,,,,,,
trial_0000,4,global,,,,0.05495037521181313,-0.004106364006298835,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12210526315789473,2.219351111964176,,,-0.22222222222222232,1,0.23529411764705882,0
trial_0000,5,train,,,0.2504494959795022,,,0.03262213796754426,,,0.0,0.0,0.02505699863563044,0,0,0,0,0,,0,0,0,,,,,1.7254855220076402,,,,,
trial_0000,5,eval,,,,,,,0.1764705882352941,2.194820901926826,,,,,,,,,,,,,,,,,,,,,,
trial_0000,5,global,,,,0.05551571450132133,-0.004671703295807033,,,,,,,0,0,0,0,0,,0,0,0,9,,0.12,2.367513582831935,,,-0.13725490196078433,0,0.23529411764705882,0
trial_0000,6,train,,,0.25045004675659954,,,0.037874751641780516,,,0.0,0.0,0.03042030200079272,0,0,0,0,0,,0,0,0,,,,,1.621874588652502,,,,,
trial_0000,6,eval,,,,,,,0.29411764705882354,2.1607506766038784,,,,,,,,,,,,,,,,,,,,,,
trial_0000,6,global,,,,0.04313725490196079,0.07603536864674595,,,,,,,0,0,0,0,0,,0,0,0,9,,0.20210526315789473,2.2992571047732704,,,-0.1568627450980392,0,0.2549019607843137,0
trial_0000,7,train,,,0.25045102382008033,,,0.04111071742033656,,,0.0,0.0,0.027996114125074467,0,0,0,0,0,,0,0,0,,,,,1.4610532086861283,,,,,
trial_0000,7,eval,,,,,,,0.411764705882353,2.3278694363201367,,,,,,,,,,,,,,,,,,,,,,
trial_0000,7,global,,,,0.08416901687991951,0.04037995075480874,,,,,,,0,0,0,0,0,,0,0,0,9,,0.16842105263157894,2.5480144054011293,,,-0.13333333333333341,1,0.196078431372549,0
trial_0000,8,train,,,0.2504511833945407,,,0.04294357665731937,,,0.0,0.0,0.03685298325328888,0,0,0,0,0,,0,0,0,,,,,1.333699000334438,,,,,
trial_0000,8,eval,,,,,,,0.4705882352941177,2.2376112867804134,,,,,,,,,,,,,,,,,,,,,,
trial_0000,8,global,,,,0.06438785467326205,0.0601611129614662,,,,,,,0,0,0,0,0,,0,0,0,9,,0.18736842105263157,2.5622061112052514,,,-0.1777777777777778,1,0.1777777777777778,1
trial_0000,9,train,,,0.250475062599665,,,0.04510712434973898,,,0.0,0.0,0.0369509462644405,0,0,1,1,0,,0,0,0,,,,,1.1069371162336084,,,,,
trial_0000,9,eval,0.3529411764705882,0.3529411764705882,,,,,,,,,,,,,,,,,,,,2.8823529411764706,,,,0.0,,,,
trial_0000,9,global,,,,0.0680981117858945,0.058629505086306516,,,,,,,0,0,1,0,0,0.0,0,1,0,9,,0.1831578947368421,2.8034292798293263,,,-0.1777777777777778,1,0.1777777777777778,1
trial_0000,10,train,,,0.2504803666585608,,,0.04762325652792484,,,0.0,0.0,0.038362776733274706,0,0,1,0,0,0.0,0,1,0,,,,,0.9928503860401201,,,,,
trial_0000,10,eval,,,,,,,0.411764705882353,2.280023736112258,,,,,,,,,,,,,,,,,,,,,,
trial_0000,10,global,,,,0.062060416055578736,0.07146992190505766,,,,,,,0,0,1,0,0,0.0,0,1,0,9,,0.19789473684210526,2.833071252421329,,,-0.24444444444444446,1,0.24444444444444446,1
trial_0000,11,train,,,0.2504036670853925,,,0.024833996975144674,,,0.0,0.0,0.048972131186273346,0,0,1,0,0,0.0,0,1,0,,,,,16.325712465685466,,,,,
trial_0000,11,eval,,,,,,,0.15789473684210525,4.629526376724243,,,,,,,,,,,,,,,,,,,,,,
trial_0000,11,global,,,,0.25516318863176907,-0.12163285067113266,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.07272727272727272,6.332049456509677,,,-0.6888888888888889,1,0.6888888888888889,1
trial_0000,12,train,,,0.2503133012458335,,,0.035050047344939654,,,0.0,1.0,0.1976055355092814,0,0,1,0,0,0.0,0,1,0,,,,,3.2212832245715832,,,,,
trial_0000,12,eval,,,,,,,0.05263157894736842,2.9815757776561536,,,,,,,,,,,,,,,,,,,,,,
trial_0000,12,global,,,,0.14962025413531702,-0.061268697481894785,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.0708133971291866,5.033467586188795,,,-0.6000000000000001,1,0.6000000000000001,1
trial_0000,13,train,,,0.2503020039131475,,,0.03399127271286277,,,0.0,0.3488372093023256,0.09775018979643667,0,0,1,0,0,0.0,0,1,0,,,,,1.9408018421295077,,,,,
trial_0000,13,eval,,,,,,,0.10526315789473684,2.249602669163754,,,,,,,,,,,,,,,,,,,,,,
trial_0000,13,global,,,,0.164685138567875,-0.04147294696636499,,,,,,,0,0,1,0,0,0.0,0,1,0,18,,0.09760765550239234,4.882550772069173,,,-0.8,1,0.8,1
trial_0000,14,train,,,0.25028234858845555,,,0.033398636551790456,,,0.0,0.09302325581395349,0.06580542186491711,0,0,2,1,0,0.0,0,1,0,,,,,1.7091923806556435,,,,,
trial_0000,14,eval,0.15789473684210525,0.15789473684210525,,,,,,,,,,,,,,,,,,,,1.6842105263157894,,,,0.0,,,,
trial_0000,14,global,,,,0.17202198551164455,-0.04078220450539331,,,,,,,0,0,2,0,0,0.0,0,2,0,18,,0.09856459330143541,5.200928666146749,,,-0.8,1,0.8,1
trial_0000,15,train,,,0.2502812828088915,,,0.03451374277125957,,,0.09302325581395349,0.0,0.06277457693981571,0,0,2,0,0,0.0,0,2,0,,,,,1.5790876294291296,,,,,
trial_0000,15,eval,,,,,,,0.2631578947368421,1.9761984536522315,,,,,,,,,,,,,,,,,,,,,,
trial_0000,15,global,,,,0.175155308678568,-0.031569848659971096,,,,,,,0,0,2,0,0,0.0,0,2,0,18,,0.10622009569377991,4.963682989184366,,,-0.8,1,0.8,1
trial_0000,16,train,,,0.2502821576456691,,,0.03544578579969185,,,0.0,0.0,0.05040962444834931,0,0,2,0,0,0.0,0,2,0,,,,,1.3715752812319022,,,,,
